el	article	masculine singular definite article; the		
él	pron	he, him, masculine personal third person subject and disjunctive pronoun (used as a subject and after prepositions)		
de	prep	of; 's; used after the thing owned and before the owner		
ser	verb	to be (essentially or identified as)		
ser	noun	a being, organism		
a	prep	to		
que	conj	that		
que	pron	who; that		
que	prep	than		
que	particle	to		
no	adv	not		
no	intj	eh?, right?, isn't it? (used as a tag question, to emphasise what precedes, or to request that the listener express an opinion)		
uno	num	one		
uno	det	one		
uno	pron	one		
en	prep	in, at, on		
estar	verb	to be (still)		
haber	verb	have; forms the perfect aspect		
haber	noun	asset		
tener	verb	to have; to possess		
tú	pron	second person pronoun in singular tense; you		
y	conj	and		
por	prep	by (indicates the creator of a work)		
por	intj	why do you ask?, why are you asking?		
este	det	this		
este	intj	uh, well (space filler in a conversation)		
este	noun	east		
poder	verb	to be able to, can		
poder	noun	power, reign		
hacer	verb	to do		
hacer	noun	task, action		
con	prep	with		
mucho	det	much, a lot of		
mucho	adv	much, a lot, far, way		
mucho	pron	a lot, many		
ir	verb	to go (away from speaker and listener)		
para	prep	for, to (expressing a recipient)		
todo	det	all; every		
todo	pron	everything		
qué	det	what; which		
qué	adv	what a; such (used as an intensifier)		
qué	pron	what (interrogative only)		
querer	verb	to desire, to want, to want to		
querer	noun	love; affection; fondness		
más	adv	more; -er (used to make comparisons)		
más	det	more, any more		
más	conj	plus		
ese	det	that		
ese	intj	hello		
decir	verb	to say, to tell		
decir	noun	saying		
saber	verb	to know, to understand (a fact)		
saber	noun	knowledge		
ver	verb	to see, to spot		
si	conj	if		
como	adv	as (to such an extent or degree)		
como	conj	as, since (being that)		
como	prep	as (in the manner or role specified)		
gustar	verb	to taste, to try (determine the flavour of something by putting it in one's mouth)		
deber	verb	to owe		
deber	noun	obligation, duty		
hablar	verb	to talk; to speak; to communicate using words		
pero	conj	but		
pero	noun	but (restriction)		
tanto	det	so much; as much; that much		
tanto	adv	so much, long, hard, often, etc.		
tanto	noun	copy		
tanto	pron	so much; so many		
dar	verb	to give, to give out		
vez	noun	time, instance		
cuando	adv	when		
cuando	conj	when		
casa	noun	house		
creer	verb	to believe		
ya	adv	now		
ya	conj	first (something) then (something else); first (something), now (something else)		
ya	intj	come on!, let's go!		
día	noun	day (any period of 24 hours)		
aquí	adv	here		
tiempo	noun	time		
nada	pron	nothing, zero, zilch, not...anything		
nada	noun	nothingness, nothing		
nada	adv	not at all		
bien	adv	well (adverbial form of bueno)		
bien	adj	well-to-do; affluent; wealthy; upper-class		
bien	noun	good; better (substantive)		
año	noun	year		
pasar	verb	to pass, to hand, to slip		
pensar	verb	to think		
otro	det	other, another		
otro	intj	"Not again! or ""What, again?"" (also Otra vez! or Otra vez?)"		
otro	pron	someone else; another person		
algo	pron	something, anything		
algo	adv	rather, somewhat, kind of		
venir	verb	to come (to move towards the speaker)		
dejar	verb	to leave off		
alguno	det	some, any		
alguno	pron	someone		
dos	num	two		
siempre	adv	always		
cómo	adv	how?		
cómo	intj	sorry? what? (expressing surprise or asking to repeat)		
cómo	noun	how		
vivir	verb	to live; to be alive		
vivir	noun	life; lifestyle		
llegar	verb	to arrive, get (to)		
o	conj	or		
ahora	adv	now (at the present time)		
ahora	conj	now...now, whether...or...		
nuestro	pron	ours		
nuestro	det	our, ours, to us		
nunca	adv	never		
quedar	verb	to be left; to remain		
esperar	verb	to hope		
libro	noun	book		
parecer	verb	to seem, to see fit		
parecer	noun	appearance (used generally when a person is pretty)		
sin	prep	without		
necesitar	verb	to need		
mejor	adj	better		
mejor	adv	better		
mañana	adv	tomorrow		
mañana	noun	the morning		
encontrar	verb	to meet		
favor	noun	favor/favour		
llevar	verb	to take, to carry, to take away, to carry away, to carry around, to bring, to bear, to lug (implies to move something further from who speaks)		
poco	det	little, not much		
poco	adv	little (not much)		
poco	noun	little (a small amount)		
vida	noun	life		
comer	verb	to eat		
comer	noun	eating, food		
comprar	verb	to buy out		
quién	pron	who?, whom?; (with “de”) whose?		
hoy	adv	today		
volver	verb	to return, to revert, to get back		
padre	noun	father		
padre	adj	cool, acceptable, easy		
mismo	adj	same; identical; one and the same; indicates that the two compared noun clauses both represent the one thing		
mismo	adv	right, exactly, immediately		
hombre	noun	man, (adult male human)		
hombre	intj	man!		
trabajo	noun	work, job		
dónde	adv	where?; in what place?		
dónde	noun	where		
persona	noun	person (an individual; usually a human being)		
poner	verb	to put, to put up, to place, to lay		
nuevo	adj	new		
verdad	noun	truth		
verdad	intj	right		
niño	noun	child, boy		
dinero	noun	money		
salir	verb	to go out, to leave, to depart, to head out		
amigo	noun	friend		
sobre	prep	over, above, on, upon, atop		
cosa	noun	thing (object, concept)		
nadie	pron	no one; nobody (anyone or anybody)		
tomar	verb	to take		
antes	adv	earlier; before; sooner; previously; formerly; beforehand (at an earlier time)		
antes	prep	before (earlier than) (triggers the subjunctive in subordinate clauses)		
hora	noun	hour, period (of class)		
conocer	verb	to know (a person or a place), to be familiar with, to be acquainted with		
llamar	verb	to summon, to call		
hasta	adv	even		
hasta	prep	until		
así	adv	like this; like that; as such; thus; so; thereby; this way, that way		
mundo	noun	world, earth (human collective existence)		
noche	noun	night (the period between sunset and sunrise)		
noche	adv	after dark, (late) at night, nocturnally		
ayudar	verb	to help		
porque	conj	because		
trabajar	verb	to work		
escribir	verb	to write (to be an author)		
tres	num	three		
problema	noun	problem, issue, challenge (a difficulty or obstacle that has to be dealt with)		
ni	conj	neither... nor		
ni	adv	not even		
perder	verb	to lose		
demasiado	adj	too much, too many, excessive		
demasiado	adv	too much, excessively, far too much, overmuch (modifying a verb)		
sentir	verb	to feel		
sentir	noun	feeling; mood		
gente	noun	people		
primero	noun	former (in contrast to the latter), first, first one		
primero	adj	first, first up		
primero	adv	first; first of all; firstly		
tarde	adj	late		
tarde	adv	late		
tarde	noun	afternoon		
todavía	adv	still, yet		
mujer	noun	woman		
perro	noun	dog		
perro	adj	doggy or doggish		
cada	det	each; every		
